id;product_code;name;product_category;prix_achat;prix_vente;disponible
1;Generic Steel Tuna;website calculating;cross-platform support;98666;76190;false
2;wireless Computer;Legacy Dynamic magenta;THX actuating;88209;64964;false
3;Centers Steel Credit Card Account;networks infomediaries;partnerships throughput;54662;46442;true
4;compressing New Zealand initiative;Generic Metal Hat;intranet;48018;16516;false
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;mobile distributed Dynamic;80377;2024;true
6;COM Personal Loan Account yellow;Cape Verde;intangible homogeneous;66238;45935;false
7;CSS Liaison;Keyboard;Central Ergonomic Concrete Ball;88292;71810;true
8;methodical;quantifying Cheese rich;South Dakota Underpass virtual;79521;23086;true
9;Fantastic;Sleek Soft Sausages Practical;User-friendly lavender wireless;77577;35940;false
10;Harbors backing up;Massachusetts Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;64809;12655;false
